quarter,reference_gross_issuance_billions,reference_scaled_gross_issuance_billions,required_gross_issuance_billions,stress_nominal_issuance_yield_proxy,reference_nominal_issuance_yield_proxy,nominal_issuance_yield_gap_basis_points,required_private_capacity_multiple,private_absorption_capacity_multiple_at_actual_yield,private_absorption_capacity_billions_at_actual_yield,private_absorption_shortfall_billions_at_actual_yield,required_yield_gap_basis_points_without_capacity_limit,required_short_yield_without_capacity_limit,finite_private_absorption_capacity_exceeded,maximum_private_absorption_capacity_multiple,scenario,capacity_scenario
2051Q2,30031.246080846355,29559.114204108217,44003.04240159496,0.040509888415376956,0.04062695957128773,-1.1707115591077373,1.4886455019507752,0.9994146442204461,29541.81160577035,14461.230795824613,977.2910039015503,0.12887910039015504,False,1.5,stress_no_interest_spending,central_capacity
2051Q3,30529.59869392751,30048.85525942715,44650.66464916323,0.04051380593439603,0.04062695957128773,-1.1315363689169688,1.485935629283418,0.9994342318155415,30031.854573141965,14618.810076021262,971.871258566836,0.1283371258566836,False,1.5,stress_no_interest_spending,central_capacity
2051Q4,30634.12883410618,30150.98604802366,44907.53224292514,0.04051759236193933,0.04062695957128773,-1.0936720934839883,1.4894216783291152,0.999453163953258,30134.498402007786,14773.033840917353,978.8433566582304,0.12903433566582304,False,1.5,stress_no_interest_spending,central_capacity
2052Q1,31257.714250191086,30763.994827780116,45680.565448592766,0.04052125208474774,0.04062695957128773,-1.0570748653999233,1.4848710547611612,0.9994714625673,30747.734904934245,14932.830543658521,969.7421095223224,0.12812421095223225,False,1.5,stress_no_interest_spending,central_capacity
2052Q2,31484.048866008587,30986.032282996737,46063.46294224926,0.04052478934276497,0.04062695957128773,-1.0217022852276187,1.4865879736246872,0.9994891488573862,30970.2030329999,15093.259909249358,973.1759472493744,0.12846759472493743,False,1.5,stress_no_interest_spending,central_capacity
2052Q3,31959.62388968574,31453.376094298354,46692.35581463603,0.04052820823405011,0.04062695957128773,-0.9875133723762086,1.4844942455350634,0.9995062433138119,31437.845779548603,15254.510035087427,968.9884910701267,0.12804884910701267,False,1.5,stress_no_interest_spending,central_capacity
2052Q4,32307.047526057522,31794.604203717914,47196.5731534818,0.0405315127195258,0.04062695957128773,-0.9544685176193085,1.4844208423252787,0.9995227657411904,31779.430729346608,15417.142424135189,968.8416846505573,0.12803416846505575,False,1.5,stress_no_interest_spending,central_capacity
2053Q1,32929.88917574789,32406.884024995754,47972.462969109525,0.04053470662756752,0.04062695957128773,-0.9225294372020715,1.4803170502942486,0.9995387352813989,32391.935872755224,15580.5270963543,960.6341005884973,0.12721341005884973,False,1.5,stress_no_interest_spending,central_capacity
2053Q2,33143.45472973456,32616.393696781317,48349.26220527201,0.0405377936584392,0.04062695957128773,-0.891659128485281,1.4823607617307875,0.9995541704357573,32601.852344192313,15747.409861079697,964.7215234615749,0.12762215234615748,False,1.5,stress_no_interest_spending,central_capacity
2053Q3,33657.04655864371,33121.16650948991,49022.50062280467,0.040540777388580515,0.04062695957128773,-0.8618218270721456,1.4800958356571983,0.9995690890864639,33106.894237371926,15915.606385432744,960.1916713143964,0.12716916713143964,False,1.5,stress_no_interest_spending,central_capacity
