scenario,inflation_ceiling,sustained_breach_quarters,first_inflation_ceiling_breach,first_sustained_inflation_ceiling_breach,inflation_ceiling_breached,inflation_ceiling_breached_sustained,peak_inflation_rate,terminal_inflation_rate,terminal_four_quarter_inflation_change,peak_policy_rate,peak_short_issuance_rate,terminal_debt_gdp_ratio,terminal_four_quarter_debt_gdp_change,minimum_output_gap,maximum_output_gap,peak_gross_issuance_gdp_ratio_annualized,peak_interest_gdp_ratio_annualized,peak_total_deficit_gdp_ratio_annualized,peak_incremental_cash_interest_billions,cumulative_incremental_cash_interest_billions,rate_bound_ever_binding,interest_income_domestic_demand_fraction,fed_inflation_response,simulation_completed,simulation_error,strict_ceiling_defended,sustained_ceiling_defended,maximum_absolute_debt_identity_residual_billions,terminal_four_quarter_inflation_deviation_change,terminal_inflation_pressure_nonincreasing,terminal_debt_gdp_nonincreasing,peak_inflation_deviation_from_reference,terminal_inflation_deviation_from_reference,peak_debt_gdp_gap_from_reference_percentage_points,terminal_debt_gdp_gap_from_reference_percentage_points,first_positive_debt_yield_feedback,peak_debt_yield_long_adjustment_basis_points,terminal_debt_yield_long_adjustment_basis_points
demand_0.0600_phi_8.0,0.04,4.0,,,False,False,0.023885933748829,0.0238368368275663,0.0007776051168484,0.0577080021502392,0.1041468079768887,3.202367300941099,0.0847750630977794,-0.0031497602478717,0.005591227740892,3.0950111203478103,0.1855556322398318,0.2065520234502822,2902.500941160624,155784.51020314652,False,0.06,8.0,True,,True,True,5.820766091346741e-11,0.000135092546062553,False,False,,,,,,,
demand_0.0600_phi_12.0,0.04,4.0,,,False,False,0.0237410866024292,0.0229726691209015,0.0007553741256082,0.0608946344357504,0.1074267277976898,3.299408899505274,0.0932426559898398,-0.0031497491783619,0.0067033200876818,3.1939099562938043,0.1950687488176579,0.2162339256551547,3092.4660005901483,160832.62667265884,False,0.06,12.0,True,,True,True,5.820766091346741e-11,0.00011286155482235301,False,False,,,,,,,
demand_0.0700_phi_0.0,0.04,4.0,2043Q4,2045Q1,True,True,0.0482892213312138,0.0482892213312138,0.0011117286582717,0.0370235512263272,0.0866801971058196,1.804427300459616,-0.0077507303941661,-0.0028907170133495,0.0120616081983511,1.770784818585436,0.1366826723795593,0.1519358453848667,1092.7474789722844,69387.29958152234,False,0.07,0.0,True,,False,False,2.9103830456733704e-11,0.00046921608748585293,False,True,,,,,,,
demand_0.0700_phi_0.5,0.04,4.0,2056Q1,,True,False,0.0404059193788866,0.0404059193788866,0.0007912234109128,0.0446215788613218,0.0898045543439938,2.117230321505631,0.0150313903686236,-0.0028907151304286,0.0108893326947653,2.0053578961761445,0.1393910753103673,0.1551286540497105,1163.7860124954695,94906.11142273944,False,0.07,0.5,True,,False,True,5.820766091346741e-11,0.00014871084012695295,False,False,,,,,,,
demand_0.0700_phi_1.0,0.04,4.0,,,False,False,0.0358790194989458,0.0358790194989458,0.0007396844662186,0.0491622880664557,0.0926424282319089,2.36210269370668,0.0316533082105272,-0.0028907132475077,0.0098198091125746,2.2476319416470134,0.1419698778466539,0.1581538103102821,1724.9383073757183,113647.787626491,False,0.07,1.0,True,,True,True,5.820766091346741e-11,9.717189543275296e-05,False,False,,,,,,,
demand_0.0700_phi_1.5,0.04,4.0,,,False,False,0.0331460722118987,0.0331460722118987,0.0007713325593848,0.0523114131538372,0.0951945335167137,2.554580481428999,0.0440832274430831,-0.0028907113645868,0.0088533646664187,2.4409500069023378,0.1444061475540788,0.1633664288680833,2130.803634270564,127758.30845456042,False,0.07,1.5,True,,True,True,5.820766091346741e-11,0.00012881998859895299,False,False,,,,,,,
demand_0.0700_phi_2.0,0.04,4.0,,,False,False,0.0314644877105807,0.0313977826323096,0.0008186982043238,0.0548706234199631,0.0974663630011297,2.70827573721952,0.0538713585714019,-0.002890709481666,0.0079885556997208,2.595483359963504,0.1562168672704998,0.1759999050629553,2445.055790824336,138707.3518328161,False,0.07,2.0,True,,True,True,5.820766091346741e-11,0.00017618563353795304,False,False,,,,,,,
demand_0.0700_phi_2.5,0.04,4.0,,,False,False,0.0302240589356973,0.0302077058748625,0.0008606106128804,0.057146444537306,0.0994675838966246,2.8335369016706338,0.062007268908454,-0.0028907075987451,0.0072223992362005,2.721656161926616,0.1668831106005631,0.1867564062905097,2702.9479002671887,147468.0304918295,False,0.07,2.5,True,,True,True,5.820766091346741e-11,0.000218098042094553,False,False,,,,,,,
demand_0.0700_phi_3.0,0.04,4.0,,,False,False,0.0293469019356187,0.0293469019356187,0.0008927998342018,0.0592497648490391,0.1012114616388993,2.937786671926579,0.0690693552582484,-0.0028907057158242,0.0065505898173663,2.8269005476217126,0.1762543879778972,0.1961894997599662,2923.863667178058,154677.81845470192,False,0.07,3.0,True,,True,True,5.820766091346741e-11,0.000250287263415953,False,False,,,,,,,
demand_0.0700_phi_4.0,0.04,4.0,,,False,False,0.0281648637381691,0.0281648637381691,0.0009332580042201,0.0630704959942651,0.1039949752840336,3.102532982423448,0.0811407632386993,-0.0028907019499825,0.0054742142337508,2.9938056663512627,0.1922654621621504,0.2122912027293159,3293.6362723191087,165980.39923256056,False,0.07,4.0,True,,True,True,5.820766091346741e-11,0.00029074543343425303,False,False,,,,,,,
demand_0.0700_phi_5.0,0.04,4.0,,,False,False,0.027362014567782,0.027362014567782,0.0009543890584891,0.0664488858683811,0.1059748166264862,3.2282729291557763,0.0913753518363886,-0.0028906981841407,0.005061332948147,3.121778915528709,0.2056627103562834,0.2257604167033277,3598.5028474078254,174569.77274661846,False,0.07,5.0,True,,True,True,5.820766091346741e-11,0.000311876487703253,False,False,,,,,,,
